text,sentiment
still trying get better get mommaz lovinheaded house ahhhhhh hate feelin,negative
lol always friends havent got yet im busy next weekend dunno im getting,positive
think boss switzerland week going returns ira gon na awesome,positive
good morning,positive
bahaha bof youve got ta get life although cant say much obsession miley cyrus ive got ta get life,positive
yeah remember na watch,neutral
bored gon na go carnival get day pass tomorrow excited bored today,negative
post later comp,neutral
would watch home,neutral
stocked tonight,neutral
awesome huh lol,positive
britains got talent cute little girl feel sorry hope simon finds time,negative
congratulations hope amazing day,positive
aw man im sorry logical reasoning promise study order tutor new student give,negative
tired tweeter,negative
instant internet marketing empire bonus recoup investment hours less httpvurmemegainternetwealthmegaredpacket,negative
bunny eating moms plants naturally started shooting bunny,negative
watch,neutral
_dude nice good night,positive
coming end vacation,neutral
sadly robot songs library,positive
day planing work havent leave everything last minuet,neutral
never knew,neutral
listened eyes fire enjoyed thanks,positive
new tecas driver license design ugly,negative
phone calls like often different subject result feeling beaten pulp left dead,negative
eat sandwhich since guys meeting sushi brag,neutral
dinner ali tonight celebrating first day new job near trader joes might stop,positive
heh send dem get dem jen shocked found many last days earlier week nothing,negative
lannen fall new ep coming shortly want dudes hear,positive
disappointed learn newark oh cancelled july fireworks due economy,negative
peeling much feel bad,negative
_von_abe idea white weird bad,negative
window ledge decorated quite appropriately love,positive
oh wait greece im us course think differently,neutral
battle minas tirith still impressive return jedi best lord rings movie imo,positive
well managed go sleep another couple hours wake youre still snoozing,neutral
realized get arrested public disturbance oh well ill take chances,neutral
dream u didnt like,neutral
official im worst day called mile away,negative
la said wipe slate clean jelly,positive
really ill look report back,positive
missing tim,negative
man need find siitter val still aint wit lol,positive
feeling better still coughing moving yet impossible,negative
happy hour today,negative
back sj star trek tonight pm cinelux almaden,neutral
seriously underrated porridge best breakfast world ever doesnt need gloopy long made right,positive
hating life moment theres many nos delicate little mind take,positive
dissapointed every wayconfused damaged ugly love bug,negative
hey sorry got tweet puppy someone already got,negative
yes finish tonight still food great discussion,positive
lololol love kenan kel rocks soo hard im watching nowright,positive
ok wtf something menu window dont sell wanted bubble tea,negative
im jdubb funky jobi guess neglected,neutral
finally gone,neutral
dismal week,neutral
_ hope soon know hate fakes,negative
hey girlie,neutral
sucks im going summer school need catch several units,negative
youtube,neutral
want woosoo like plz gant wait knowing shes close driveing nutts,neutral
next wk c drs maybe would love go mac grill john thought u,positive
rehearsal rob delucca thingy next month nothing like learning new songs last minute,positive
ok th tweet ill use simply say thank ive met givingcaring people twitter,positive
yes liked much wasnt even cheesy,positive
know pero available na yata eh sa singapore though,positive
eating bbq jalapeno torta subway los chaparros right next door,positive
god im suffering greatly hair sitting blazing sunshine v v bad sunburn,positive
_crazyangel gah gregg got hot talented vote dammit,positive
get motivated fact know ill wake productive go sleep though,positive
enjoying sunshine park friends pale shirtless footballers attractive im afraid,negative
well pouring rly rly wet,negative
hate going work nights im micro least get work,negative
_kill_boy oh sorry getting replies nothing yes know nirvana,negative
going funeral today friend classmate died car wreck last friday,neutral
visit la ventana de los cielos foundation pushed bck weeks excited go meet kids ill wait another wks,positive
hey adt guess princelples number plate adtøøω well dunno numbers,neutral
ok duet hysterical lol,positive
check check check,neutral
recovering crazy family love aint got see em couple times year guess deal,negative
babysitting hubby cam cam,neutral
hate,negative
go buy deck sleeves x card pages man pages expensive stupid organizing collection,negative
starting get sad,negative
schedule says class late campjitterbug,negative
yup day older,positive
one day hugs come fingers still crossed,neutral
spray non smelling repellant stinks high heaven,negative
miss peanut gallery,neutral
following people around though many webdesign twitters,positive
swoobs swass hell air today packing blech,negative
good morning,positive
lip pierced minutes died,neutral
dont know im feel empty lolll cheesy true,negative
hey hey get tickets time low theyre aussie kay wwwmyspacecomdestroyalllines yup go get tickets,neutral
crying omg fed pain,negative
knee surgery back home weeks,neutral
one lactose pill enough coffeeoopse,neutral
thats good day,positive
regard knowledge like little robot movie short circuit always crying imput imput,negative
sheesh crochet bah humbug sleep um suppose someday,neutral
calling mothers calling mothersget butts bed kidsll tomorrow,neutral
haha really dont im going workshop school next week going plus car broken right,positive
going buffalo wild wings meet best friends havent seen forever bad cant eat food,positive
post,neutral
hadnt cried long time,negative
hmm sorry went mia,negative
plans canceledanother friday night home,neutral
feels ucky today need defense vitamin water dont want sick mores,negative
round two vega vanilla chai flavor realized days left,negative
_ yeah sorry busy last night ill try go next week,negative
hype friday raining outsideno rain day rainin time kickitmr sun trippin,neutral
bummed babydoll spaghettistrap tank three wolf moon tshirts love meme hate wearing fabric box,negative
_jayytee yea knw,neutral
happy star wars day everyone,positive
httpbitlydiqf hope day mom get message,neutral
ur linky worky,neutral
im ac house broke,negative
ok st ginormous cup coffee monday looking much better,positive
yes write article,neutral
bl muthafuckin ah win,positive
um mr deadly sir please follow twitter,negative
aidan please,neutral
everyone saying supposed pics matt striker hope doesnt get trouble,negative
walk grand peeps lol feet really hurting thought,positive
home well hate workin,negative
ahhhh pic,neutral
aw yeah must say good haha,positive
thats sad kind mess getting weekend,negative
naisee bad see lens flares arond listening xd cant really catch theyre saying tho,negative
unfort cant dm bc ur following,neutral
lovely day sky clear birds singing im stuck office windows hours,positive
_tastic awww sweet,positive
wow really pretty talented lady impressed,positive
respond,neutral
always bit smug whistleblower denial stuff pretty spectacular,positive
lol haha fresh death lol ha ha love miss u id almost given øøω u cuz u nvr respond u today luv u,positive
tell zach jer said happy birthday seem like cool brothers youre lucky haha,positive
would like macaroni cheese pleaseno,neutral
im sorry hear makes sad,negative
little romantic date suzy uptown,negative
go next live chat,positive
_ferman thats weak facebook fail,negative
httpwwwmmemarkoschilderwebnl homepage,neutral
clamped outhaha,neutral
_aid goodnight,neutral
excellent looks like youll twitterific competition,positive
awe miss much theyre vacation lasted like six months miss,positive
_carter says video private wont let watch,neutral
dont want ugly anymore,negative
_e honour friend httpbitlylhgz,neutral
really ultra bored,negative
awwww ur already gone,positive
miss ya boyfriend gon na see ya brtt,neutral
ballerina family super nice albeit little controlling sons life bayou family judgemental,positive
watching george lopez went school played basketball today pretty nice hot,positive
someone edit designs called plagiarism right im tired exhausted dissapointed,negative
bored firday evening nothing,negative
_cullen yes yes,neutral
ok guess need actual work long pm oh may ditch early,positive
ok wtf something menu window dont sell wanted bubble tea,negative
gosh need rude,negative
wide awake grouchy,negative
ok thats enough,positive
got caught rain outside im cold bbbbrrrrrrrrr,negative
watching rd episode jonas,neutral
awesome girl scout day dodger stadium two awesome olympic athletes joanna hayes heather bown,positive
yeah point please dont make feel worse,negative
aww mom appreciate much familias leave tour,positive
hoping day gets better,positive
hate gb ram use host gb virtual machine sucks much,negative
miss tooooo arent far,positive
haha didnt anything wrong,negative
headed today shopped mothers day gifts love bbws new scents finished book bought yesterday,positive
way seattle yay seattle boo matt leaving,neutral
_skies got singing falling love im changing week day saturday doesnt quite fit,positive
im enjoying sunday much parents revision like sunday,positive
_carter says video private wtf,negative
hopes see bestie today,neutral
stuck stupid jeuno flag wish windy fishing,negative
oh yeahyour mom told thought meant twitter id confused sucks sick,negative
yum home delivery,neutral
im sorry lol never like actual time spend unfortunately everythings always insane go,negative
cool mark song going stuck head day love anyway star wars day today cool,positive
may th today round weekend one session happy th yall fintster,positive
welcome network buddies,positive
aww heee nicely done weekend guest approves lot,positive
finished watching masterchef surprisingly perhaps good,positive
actually im supposed w dad cousin cousin trouble though never get together,negative
work surprisingly happy things considered ahhhh loveliness,positive
direct wanting invest questions big cheeses,positive
spent allowance cybernet expo sf send dm rates tho mayb cash flo bttr,negative
waiting bus back cripple creek pick twizzler town seems kinda quiet tonite rolynn,neutral
taking load old broken concrete landfill tried find recycler,negative
ok needs hurry come wtf wan na go hooooommmeeee,negative
thats good attitude,positive
left cali morningin dallas nowmissing car much,positive
cheque cash tomorrow didnt get bank idea feel safe get though woooo,positive
howz going hun,neutral
ten minutes shopping demi lovatoback around demi lovatobehind enemy lines seen titanic trailer really good,positive
bye people,neutral
oh god feel like,neutral
hi holly ill volunteer try first u hope ur fab weekend xoxox,positive
im filing much less fun sorting cos still look hunt details,negative
meee penguin wallpaper backround phone computer ps ipod touch twitter,neutral
haha crying,neutral
need cancel appt home washing machine repair man sorry,negative
wont kids sleep,neutral
starving chem quiz due noon,negative
heyahh thought u wernt cumin london till th love taylorr,positive
happy mothers day love mom,positive
save heart think imma let go see getting hurt,neutral
pages left read time start lunch dutylove th graders,neutral
mean makes sad,negative
happy mothers day,positive
good morning today last day freedom back work tomorrow im sorta stokednot stoked well,positive
want semester week half moving time,negative
think iv hurt tooth eilish cassie drawing competiton draw cookies pineapples haha l,positive
oh gosh hair short miss long hair,negative
working tomorrow day cant anything tonight whats plan saturday,neutral
back weekend get away,neutral
wanted say positivity doin good change wont regret forsure,positive
oh ouch hurt washing machine get,negative
tomorrow mean anna,negative
thanks link love yesterday way,positive
fyi lot people following unfollowed lot yer kinda boring really helpful egrowth,negative
im soooooo sleeeeepy last day school todaysniffle,neutral
grrr people suck cry animals die nature shows people sick hunting endangered species,negative
working still sick,negative
understand fear feel way many things really need motivation overcome mine guilt,positive
come vancouver throwing stuff onto ice thought canucks supposed polite stuff,neutral
showered icecold water sweating means one thing im sick,negative
_a_michael hey thanks another great day im going sleep ill chat tomorrow sweet dreams,positive
uhoooh throat scratchy,neutral
take somei tiny,neutral
ooohhh well could always borrow burn buddy lol,positive
hoping mom likes pamper gifts sent,neutral
says good say bad afternoon httpplurkcompwxpdj,negative
aw thank suppose good thing since means tweeting,positive
brain become converter ed ive converting lm past yrs every mins every single day,negative
hmm new sports catalog card jitsu updates appearing,positive
finally got money bad goes bills,negative
ps uv rays strong clouds regular sun sometimes stronger fyi,positive
used ozzy osbourne pillow mom threw miss thing,neutral
oh noooooo im sorry sucks hard,negative
cant wait make call tomorrow got ta keep moving forward,neutral
dreading work tomorrow wish one day,positive
jareds wearing green shirt sparkly eyes yee hear asylm highly disorganized hang,negative
neat hearing u kiddshow today wish,neutral
_supernatural_ httptwitpiccomwcw mishaaaaaaaa,positive
lm days matt fun weekend,negative
go see puppy dont want alone,neutral
dyed hair,neutral
asked sing yet againaha coffee mornin time psychology past questionsrevision suck,negative
kinda forgot much love darkness,positive
everything cool wish boy able talk,positive
year summer school,neutral
jazzy vegas w team,neutral
convo starts hours sitting km away writing gis queries,neutral
_b dont know arent worth people actually showed lol,positive
omg exctied,neutral
_ damp weather,neutral
hope morning show doesnt get cancelled,neutral
find weird think u gave ff recommendation sorted vote legalisation pot u want,negative
downloaded twitterberry life even convenient,positive
youre right duckies thanks big help wrapping writing,positive
eggs today shame looking forward egg bacon sandwich,neutral
ill pc,neutral
hah yeah bad gon na lie fun,negative
hahaha tea grandmas sweat yep,positive
searching dr scholls sandal inserts men seems make women,neutral
watching loudquietloud documentary ever awesome pixies realised joey santiago david lovering twitterers fantastic,positive
spray tan fail legs feet ive scrubbing feet look better looked awful morning everywhere else ok,negative
aw u cant let secret,negative
creased nikes ohh well httptwitpiccomzfd,neutral
horrible dream scary face im awake rest night god dammit,negative
kicking back home,neutral
cold raining inglewood,negative
bug cod system link map pack isnt working,neutral
_m,neutral
happy christmas wait happy measels day seriously happy mothers day lmao,positive
blip misconstrued qs last nights convo song really love rocks morning,positive
well hovered button lol sleep well tiff welcome,positive
think hayfever sure due wearing next nothing horrific weather wed,negative
great song east clubbers,positive
_peabody im pretty sure got sent home couple times tis week remember mary antos grannythe love around,positive
lol leave,positive
thinks shes getting sick,negative
jealous im asylum right,positive
depressed already isnt want book,neutral
_megan_ thats ive seen till hours normally sleep missed mad haha,negative
comon dude always think things get worst,negative
cant wait november jobros concert examination,neutral
oh wow really good think im going use one lol,positive
dont know heck space time bgt bored,negative
back gym sorting inboxes,neutral
oh snap broke windshield replacing wiper blades,neutral
wtf getting hmtm today revision revision revision,negative
awww man suck big time look way gives something look forward nice long ride,positive
httptwitpiccomp well done guys gon na miss tweets,neutral
going bffs haha thats like hourssss sooooocalllll actually darn hw,positive
feel sorry nails lol feel fine thank,positive
miss already sad faces texted seriously gon na make cry,negative
dont know write anymore mind must tired past midnight already tour philippines,negative
congrats hughesy holly safe arrival rafferty david hughes hope well xoxo,positive
rat run steve irwin way avoid long delays bruce highway,negative
worst stuffy nose ever laurens spending night took much sudafed,negative
bank holiday rain superb great excuse start gardening jungle back house eating,positive
didnt win lammy last night happy scott sherman walked feet bea today,positive
little irked moment,negative
woot,neutral
listening music friend,neutral
early bird see,positive
stupid msn wont let onnnn,negative
wish could go driveor movie storei wan na alone,neutral
wants boo btw love fhnixons posts hilarious,positive
great song httpbitlyevluw,positive
said hi double take left let look around first,positive
yay mark issues tooyoull find lot issues lmao,positive
ive got headache,neutral
got replacement phone text messages call history gone sad,negative
thanks well,positive
hoping heal anything put makes worse owww,positive
lonely,negative
ehnot sure daw guesting ni cha monday,positive
pretty warm forgot k sick though,positive
sittting seat watching tyra show,neutral
wish kiau go cat heaven meet seuss,neutral
saw tues last niiiighht amazzzing didnt even notice forgetting wordddss,positive
think found purse soulmate budget,neutral
saw ucla bookstorenow convinced every single major university better bookstore fun far,positive
movie today cant go see,neutral
booziest weekend long time good fun though,positive
watching ard earn money dissapear,neutral
bloody feds lost last statement r hounding another one dodged one last week,negative
tomorrow afternoon well later today actually shoot seattle sinner newspaper femme fatale seattle photographers,neutral
painting,neutral
lonely,negative
chillaxin workman screwed,neutral
god weather london ammmmazing yet im train half day,negative
omg dad called johny come lately haha im slow haha,positive
ugh people fancy trips italy im slaving away computer,neutral
finishing quick magazine article cap cant wait get done get back book,positive
looking forward upcoming weekmy better half gone time truly gon na suck big time,positive
got home work chugging big bottle apple juice,negative
ake youre work lazing home sunny bank holiday,neutral
one else muhahahaaaa well maybe jesse,neutral
think ive buggered mobile ack stubborn refuse get new one,positive
stressin hcore supposed cleaning room feels like,neutral
perused fieldnotes website good bad must return work,positive
_lpz yeah text wnat go car broken,negative
im jealous wish could join u cold la right,negative
internet getting slow today,negative
going attempt cook chunky beef mushroom pie tonight mmm im hungry already,neutral
would defo done im already booked tother side country,neutral
know love nicholas braun think hell make okay cameron dont wan na see either,positive
would home,neutral
trying put veggie soup watching bride wars body recovers hope ill spring back tomorrow,negative
sick daddy send prayer way,negative
god pisses always enter comps never wini sore loser,neutral
start theres people coming us go melbournefor short stack originally still ss,positive
_jayytee yea knw,neutral
goodies bagged car boot including cute cross stitch birds craft room man selling sweetie,positive
think parent trap high school musical,positive
wondering going put one many itunes hope cd dont,positive
body hurt need rub like,negative
happy mothers day moms love mom,positive
samee well aint man girl obv nd lol aint special famous rich wish tho,positive
travelled world grew diet everything think still genoese grandma made pasta,positive
cant wait hear new album im sure amazingplease replay love much,positive
congratulations check one list,neutral
awww youll post pic bet itll look dead nice,positive
wish birthday massacre would come australia think said theyre thinking tho httptinyurlcomplfch,neutral
internet getting slow today,negative
always lee lets go paris,neutral
american trade journalists ask prs almost time uk journalists ermnot much come,positive
ooooh im jealous might try get saturday exam monday im gon na fail,negative
didnt get qdoba today sad,negative
idiotattove_liden thnks follow tove ddoodm idiot,negative
yep heres pic kid standing puffy taco photo httpbkitecomjzs,neutral
wwwyoutubecomwatchvcyjvgnpva sowwwwyy u girls make twisted time,negative
recorded sent people obviously meant get didnt feel bad,negative
nans house eating fish chips watching top gear good times,positive
ever seem listen dirty days cds still gregs parents,negative
_robertpatt,neutral
hes,neutral
oh friends know youre retract last statement thennnnnnnn,negative
hahah wish true really really bad gon na stay home chill tonight usual really wanted go,negative
like light walls shatterd great work germany must get know asap,positive
doctor anyone wan na somethin bit,neutral
pool orlando got new kicks going seaworld tommrow miss best friend,positive
btw nathanfillion trying beat flight control score well maybe follow,negative
httptwitpiccomjken fire urban rock challenge,neutral
new tmobile advert trafalger square looks like lot fun except load pigeons,positive
dedicating next hours cleaning house,neutral
sunday morning,neutral
aww feel bad holly,negative
poor kid sucks hopefully things look soon hugs,negative
awww dont sad well download copy,negative
little felted thing looks like incestuous product two lovelies,negative
yay train late starts mins late arriving london first place,negative
actually woke going attempt see natalyy,neutral
expression watching httptinyurlcomeqbwe,neutral
got back im absolutely exhausted hours work,negative
want korean bbq baddd one come,neutral
im sick sad cold,negative
wish could go e oh well,neutral
time get puter nite,neutral
cant sleep im sore move,neutral
also tired,negative
weird cause synced mine morning got new episode,negative
woop rehearsing songs yep sounds even enough,neutral
sore ultimate trying figure pay school next semester,neutral
hate gb ram use host gb virtual machine sucks much,negative
ive got great expectations tomorrow gon na awesome httpblipfmjf,positive
im back twitter,neutral
meant say yardhouse waikiki bday dj dozen others,neutral
traffic backed inbound lincoln tunnel,neutral
think rate ill class sigh,negative
son wtf bit holes bread god forsaken,negative
knew horse called dollar,neutral
good mix developers content developers providers venture folks,positive
things last thing mind cleaning everyones cake mess,negative
im experiement,neutral
thanks,positive
walking past school went junior high torn,negative
know clean clothes either washers kitchen kitchenfire,negative
slightly later planned gunna get essay done day,neutral
im allergic cats tonsils get swollen hurt dooo,neutral
almost fell asleep hair dryer tired feel like im going puke,negative
ya would gained kgs working today,negative
stellar look great,positive
poor greg stupid uk always sympathy vote xo,negative
haciendo mi primer app con thin rack crazy stuff,negative
bullhorn tell ur friends follow come onnnnnnnnnnnn ppl,neutral
full food tonight dont want cake ice cream party,positive
late nightfinally home,negative
sick home bored want get better already enjoy college grad,negative
back school feels like gon na great day,positive
wilshire stayed last year,neutral
absolutely love mike watts sexy heroes,positive
birds oh man thats cool didnt sleep yet night,negative
yeahhhhhhhhhhhhh fridayand work tomorrow,neutral
character designs complete week well give another sneak peak stay posted,positive
days counting,neutral
would mean babe name super freakin cool give pass ha,positive
gon na iphone full,positive
jealous mom talking want see twittering making miss,neutral
miss u,positive
straight know game youve heard tracks youll know ive rocking,negative
httptwitpiccomxv former pawnshop jimi hendrix got st guitar seattle check cashing joint,neutral
good luck auction,positive
stupid jobs idk,negative
pictures cassie crawfish boil make smile real big also desktop still fail ultimate fail hates,negative
thats great hugs,positive
tara thai times friends birthdays food pretty bad,negative
except fact raining since wednesday supposed stop till monday ew,neutral
pretty well wide awake,positive
lil sisters graduationthey grow quick,positive
didnt get job berry line,neutral
thanks following pretty complicated id lol,positive
got keys new flat gorgeous weather weekend im spending packing,positive
httptwitpiccomowu nice tickets tonights game im staying home sick,negative
link per daughter usmobilereuterscommobilemanyarticleprdturlhttpwwwreuterscomarticlebigmoneyidus,neutral
yer ispoor little well doesnt deserve stick everyone cowell going producer,negative
thanks appreciate know unsubscribe list grow tomorrow lol,positive
watching neighbourss,neutral
_eyedea love lastfm find lot easier content spotify add httplastfmuserankey like,positive
nothing yet,neutral
coronas bad craving mexican pastries id go uptown get,negative
hey song would like listen,neutral
wondering happened froggies potato farm,neutral
mrskutcher aplusk two funny,positive
forgot old twitter account please follow itsjeff stop account sooni prefer address doesnt age,positive
poor baby girl chloe freaking noise cute pitiful hiding middle table,neutral
someone friendster profyjust add meaytlolhttpbitlyuspln,neutral
dude come least rotate,negative
great weekend johnback work days going illinois thurs fri gigs john,positive
hi california cool budapesthungary cold cloudy today usually hot summer,negative
forgot lube may need go er,neutral
purrrrs ooooh,neutral
inability manage money tough job market theyre getting behind bills savings bad,negative
playing game watching straight people hook cant leave another reason,negative
oh yes amazed nice next go drive thats trust us haha,positive
given way kunal khemu etc starrers turn outthere high probability rather niche,positive
heyy deleted myspace account cause link side bar wont work says deleted wb ily,neutral
madd bored,negative
thunder lightning scarededededed,neutral
im sadtheres sale sign front house,neutral
forgot moi twpp,neutral
waching grays antomy,neutral
u dont quit smoking httpbitlychzlw,neutral
turkey leg cant believe,neutral
yeaa im sad ive watched live performances peru etc epic wish shed come ni lol xo,positive
convinced always wanted signals give think lost another friend,neutral
seeing gf days row hours day amazingjust wish location wasnt hospital,negative
dont mind change profile pic picture uk itll fun,positive
liesgirlstell liesboystell threads show women men alike screwed struggle real honest relationships,positive
whats gloomy weather sun must tired come play heading victoria gardens impulse buys haha,negative
morning miss sarah cyrus whats x,positive
except fact raining since wednesday supposed stop till monday ew,neutral
molly keeps punching cuz sees yellow cars im gon na covered bruises dont like game,negative
good morning certainly,positive
smackdown lot boring without maria,negative
day whats ff im worst,negative
getting ready go read pray go bed enjoy rest night,positive
tired driving really could use chauffeur,negative
hes definitely fav host ever cant wait watch rest tomorrow,neutral
baby left gon na get ready im leavin chilis full _,positive
prob cuz dont really like sleeping late even tried,negative
lmao im stupid felt like sayin tyaøøω red caf viocenite yall,negative
wellnot spurs,neutral
hi jenna hope well thinking wishing best lots love new york,positive
surely uploading could wait got home im enjoying party,positive
go twitters oh bais,negative
salad krogers hungry,neutral
rest week less hours long,negative
voted u personal myspace keep talking fakes u helped thru hrdest time life x,positive
_autism bright side youre twitter morning,positive
ooo showing french skills lol things good lovely weather outside hows u,positive
take math quizon fridaybooo,neutral
aww ones msn,positive
new job today wish luck peeps,positive
bad sort want miss know missing,negative
im bored hope wlan go today,negative
lol yeah cuz seems way sometimes,positive
school time cuz im sick,negative
awwyoure softyi imagine mess tears weddingyou wont even able talk,positive
sunburnt,neutral
damnit sending email right btw,positive
met shortest line ever fcb tunapuna tellers disappeared,neutral
always tired always cold always headache cant wait vacashunand frickin g updatei want onscreen keyboard dammit,negative
th st pub anyone tonight dont want lonely drunk tonight,negative
chillin roomies cant wait zombie clwn cr gon na weeks,neutral
cant wait home snuggle puppies fiance,neutral
thanks anita looking hosting look,positive
httppinkpawsforlifeorg pets get cancer,neutral
last heroes ep sept sick drugged past days dr says lacking everything esp get sunshine,negative
goddamn bloody stress sending body haywire,negative
im ditchin im barfin sorry guys esotsm,negative
thank retweet,neutral
california sunny makes kinda sad,negative
darn bacon,neutral
fishing wow listening ska pandora lazy sunday morning,negative
ah sorry hear trip canceled,negative
watching movies,neutral
yvr fog delay sfo cant leave yet,neutral
second episode sonny wac new zealand tonight still amazing ily,positive
proper cba,neutral
make sure call yur mother tell much love tell love bringin world,positive
hate weather wan na bake,negative
man waking sucks u go work like min later,negative
smooches well great day,positive
dont think sale ciroc staythats luck,neutral
way nanny school starts tomorrow one step closer teacher,neutral
working god hate haha,negative
ugly programmes open,negative
work movie theatre toledo id let come see free,positive
fell stairs dancing sword fell bum hurts,negative
finished taking world geograhy final think bad,negative
_atticus thank,neutral
vacuumed entire house three times screw vacuums,neutral
first day research edmonton general,positive
dont know,neutral
class really long im really getting hungry,positive
real sorry hear,negative
worries going abp right want something,positive
awesome congrats completing cant believe cycled distance cottage though day,positive
sat play quick hand poker k first hand flush im done today,positive
course really hope would real twitter page would soo cool,positive
aw zach wasnt feeling well hope gets better babysitting canceled,positive
kate leaving lonesome,neutral
soo tired couldnt get enough sleep,negative
got home interesting night,positive
indeed much fail,negative
im sad really really sad,negative
going cook lamb chops lunch always end coking pay day amaze much cook,positive
aw got orthodontist today,neutral
little girl holly find time aw shell get loads votes bet,negative
saw dead bird way workwhat kind day start poor little bird,negative
last day im la sad,negative
twitter reunion would awesome meet lol iwonder howd iget pull,positive
ikr,neutral
tried vote u day couldnt figure help lol,positive
darline miss,neutral
lady water pure bs remember enjoying films,positive
drinking cordial yes im bored,negative
love new avatar,positive
yet sorry,negative
told joke onstage butlins one person laughed scarred life,positive
turn red,neutral
didnt make smoked shes im thank r u,neutral
still dealing quite bit pain jump soon lay downvery frustrating thanks asking,negative
hahaha really im trying figure last time fb looking friends pages,positive
omgggg hawaii thats amazing wan na live,positive
yah footlong sausage mah halal placepiggy sausages bigger,neutral
know im rogers im pretty sure dont agreement twitter,positive
_hypnotic oh thanx thought ilost iappreciate,neutral
negghead mix air httptinyurlcomckdwao,neutral
im,neutral
made huge revelation dishes everyone left totally forgot hate happens,negative
found one great thing living switzerland delicious bread sometimes little things make difference,positive
alrightttt twitter netball nowww th twitter haha byeeeee,positive
chilling home,negative
well well organize one get cant guarantee oldies though,negative
